Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search interations
        0    2.83141e+03   6.52914e-02    1.00000e+00    1.00000e+00                0   (INITIAL GUESS)
        1    2.78451e+02   3.82932e-02    4.13502e-01    1.80934e-02               42
        2    1.46016e+01   2.55312e-02    3.33272e-01    1.81381e-02               37
        3    7.68779e+01   2.26664e-02    1.12207e-01    1.94196e-02               30
        4    1.33917e+02   1.16429e-02    4.86338e-01    3.63013e-02               35
        5    1.24764e+02   8.00718e-03    3.12268e-01    1.37566e-02               42
        6    2.88970e+01   6.73256e-03    1.59185e-01    5.45282e-03               46
        7    3.52139e+01   4.12792e-03    3.86872e-01    1.35680e-02               36
        8    1.42901e+00   3.98551e-03    3.44996e-02    9.95756e-04               49
        9    1.49438e+00   3.67307e-03    7.83932e-02    4.13799e-03               32
       10    4.07372e+00   3.52181e-03    4.11806e-02    5.76346e-03               32
       11    1.09992e+00   3.09957e-03    1.19892e-01    5.52594e-03               37
       12    7.70141e-01   2.92548e-03    5.61661e-02    2.28658e-03               36
       13    1.04081e+00   2.73933e-03    6.36327e-02    4.75143e-03               32
       14    4.30316e+00   2.43123e-03    1.12472e-01    1.11276e-02               30
       15    3.30628e-01   2.31042e-03    4.96894e-02    5.03024e-03               40
       16    5.48182e-01   2.27859e-03    1.37781e-02    2.29003e-03               33
       17    9.49443e-01   2.20577e-03    3.19582e-02    3.33425e-03               34
       18    3.71999e+00   2.04723e-03    7.18766e-02    7.54076e-03               33
       19    3.92128e-01   1.89519e-03    7.42625e-02    9.74437e-03               38
       20    9.43453e-01   1.79652e-03    5.20635e-02    2.74987e-03               34
       21    1.34110e+00   1.67301e-03    6.87501e-02    5.46460e-03               35
       22    1.62004e+00   1.56108e-03    6.69068e-02    6.32919e-03               36
       23    5.36242e-01   1.46280e-03    6.29567e-02    4.95197e-03               38
       24    3.99543e-01   1.33732e-03    8.57775e-02    6.50977e-03               32
       25    3.89907e-01   1.26531e-03    5.38501e-02    4.05122e-03               33
       26    3.18625e-01   1.18160e-03    6.61529e-02    8.00412e-03               30
       27    1.00520e-01   1.11276e-03    5.82639e-02    6.78057e-03               30
       28    8.28418e-02   1.08683e-03    2.33052e-02    3.79436e-03               28
       29    7.86033e-02   1.01107e-03    6.97000e-02    3.60992e-03               28
       30    7.53427e-02   9.61342e-04    4.91867e-02    4.62297e-03               27
       31    3.41990e-01   8.78215e-04    8.64696e-02    1.73575e-02               21
       32    6.68688e-02   8.52844e-04    2.88896e-02    4.37628e-03               34
       33    1.26172e-01   8.16778e-04    4.22892e-02    3.16702e-03               28
       34    1.12978e-01   7.40469e-04    9.34267e-02    8.83505e-03               26
       35    4.57439e-02   7.27769e-04    1.71508e-02    2.57987e-03               31
       36    8.29806e-02   6.65188e-04    8.59909e-02    7.23218e-03               23
       37    1.48581e-01   5.47516e-04    1.76900e-01    1.03717e-02               24
       38    2.68886e+00   4.44299e-04    1.88519e-01    2.29272e-02               23
       39    2.33669e-02   4.18926e-04    5.71088e-02    2.45711e-03               46
       40    2.87394e-02   4.08280e-04    2.54118e-02    1.18580e-03               29
       41    1.20691e-02   3.79459e-04    7.05920e-02    3.92387e-03               25
       42    2.80428e-02   3.67850e-04    3.05940e-02    3.85196e-03               22
       43    3.11932e-02   3.04462e-04    1.72320e-01    4.90810e-03               25
       44    4.47231e-02   2.70297e-04    1.12212e-01    1.12219e-02               22
       45    3.29060e-02   2.18497e-04    1.91642e-01    8.65458e-03               25
       46    2.29763e-02   2.10249e-04    3.77497e-02    3.33063e-03               28
       47    1.71998e-02   1.89352e-04    9.93903e-02    3.80575e-03               26
       48    5.66529e-03   1.79891e-04    4.99677e-02    1.93236e-03               28
       49    5.04563e-03   1.68379e-04    6.39904e-02    4.51676e-03               20
       50    3.23452e-03   1.60981e-04    4.39411e-02    1.84516e-03               24
       51    6.75072e-03   1.56682e-04    2.67012e-02    2.57764e-03               21
       52    4.95886e-03   1.53463e-04    2.05454e-02    2.22798e-03               25
       53    1.61771e-02   1.48443e-04    3.27116e-02    4.16937e-03               21
       54    1.17442e-02   1.27425e-04    1.41590e-01    5.54689e-03               25
       55    7.17478e-03   1.20020e-04    5.81097e-02    5.10266e-03               24
       56    2.43389e-03   1.16250e-04    3.14139e-02    2.57527e-03               25
       57    3.19955e-03   1.07524e-04    7.50672e-02    2.75992e-03               20
       58    5.52970e-03   9.24788e-05    1.39920e-01    5.73788e-03               18
       59    5.18730e-03   6.60990e-05    2.85253e-01    1.98428e-02               15
       60    2.08819e-03   6.38044e-05    3.47142e-02    1.41249e-03               27
       61    2.44216e-03   6.18744e-05    3.02489e-02    1.27539e-03               24
       62    1.03943e-03   5.46421e-05    1.16887e-01    3.22452e-03               21
       63    6.64200e-04   5.17372e-05    5.31606e-02    3.29778e-03               18
       64    3.66792e-04   4.25774e-05    1.77045e-01    1.06776e-02               11
       65    4.96405e-04   3.97675e-05    6.59966e-02    2.72762e-03               15
       66    2.86424e-04   3.74643e-05    5.79168e-02    3.09839e-03               16
       67    2.31019e-04   3.51180e-05    6.26262e-02    2.45066e-03               15
       68    3.78116e-04   3.17511e-05    9.58751e-02    4.36657e-03               12
       69    3.21212e-04   2.90594e-05    8.47745e-02    3.74755e-03               15
       70    2.52489e-04   2.41017e-05    1.70606e-01    8.38837e-03               11
       71    3.96963e-04   2.31427e-05    3.97912e-02    2.17255e-03               16
       72    5.36459e-05   2.01803e-05    1.28003e-01    4.41339e-03               15
       73    1.51325e-04   1.83269e-05    9.18419e-02    2.41704e-03               10
       74    6.81415e-05   1.70679e-05    6.86991e-02    2.95240e-03               14
       75    1.03643e-04   1.59817e-05    6.36404e-02    4.65827e-03                9
       76    3.37252e-05   1.57493e-05    1.45422e-02    1.10232e-03               18
       77    2.59755e-05   1.51753e-05    3.64435e-02    2.43394e-03               10
       78    1.72130e-05   1.42281e-05    6.24190e-02    3.72604e-03                7
       79    1.27110e-05   1.30189e-05    8.49842e-02    3.69877e-03                6
       80    5.80812e-06   1.27457e-05    2.09848e-02    1.69408e-03                9
       81    2.23798e-05   1.24412e-05    2.38929e-02    3.57227e-03                4
       82    1.17540e-05   1.21400e-05    2.42091e-02    1.66349e-03               13
       83    9.28425e-06   1.14731e-05    5.49329e-02    4.15532e-03                5
       84    4.04670e-06   1.13358e-05    1.19714e-02    8.99675e-04               12
       85    6.94878e-06   1.11134e-05    1.96197e-02    2.73021e-03                4
       86    6.43059e-06   1.08828e-05    2.07509e-02    2.96573e-03                6
       87    4.87963e-06   1.07619e-05    1.11012e-02    1.23683e-03               10
       88    3.99281e-06   1.06903e-05    6.65919e-03    7.61700e-04               11
       89    5.28672e-06   1.03744e-05    2.95472e-02    2.09276e-03                6
       90    6.10320e-06   1.01384e-05    2.27531e-02    2.01021e-03                7
       91    2.13365e-06   9.97141e-06    1.64673e-02    2.31234e-03                7
       92    3.39536e-06   9.88420e-06    8.74517e-03    7.49193e-04                8
       93    2.02548e-06   9.67071e-06    2.15999e-02    2.01123e-03                6
       94    1.43169e-06   9.55621e-06    1.18396e-02    1.62666e-03                5
       95    2.68378e-06   9.41152e-06    1.51406e-02    1.60415e-03                5
       96    2.14753e-06   9.29797e-06    1.20655e-02    1.57962e-03                7
       97    2.70452e-06   9.18452e-06    1.22017e-02    2.05369e-03                5
       98    1.85702e-06   8.95901e-06    2.45526e-02    3.13905e-03                3
       99    2.06101e-05   8.67162e-06    3.20789e-02    4.39863e-03                0
      100    1.03031e-06   8.57833e-06    1.07579e-02    6.78825e-04               19
      101    1.44345e-06   8.46854e-06    1.27980e-02    1.42558e-03                3
      102    5.14667e-07   8.33133e-06    1.62032e-02    1.61557e-03                5
